;x_1;x_2;y;theta_1;theta_2;theta_0
35;0.729;0.129;-1.0;0.22999999999999976;-1.554;-4.0
36;1.14;-1.23;-1.0;0.22999999999999976;-1.554;-4.0
37;0.402;-0.685;-1.0;0.22999999999999976;-1.554;-4.0
38;-0.8708;-0.5788;-1.0;0.22999999999999976;-1.554;-4.0
39;-0.312;0.0562;-1.0;0.22999999999999976;-1.554;-4.0
40;-1.17;0.901;-1.0;0.22999999999999976;-1.554;-4.0
41;0.466;-1.54;-1.0;0.22999999999999976;-1.554;-4.0
42;1.49;1.9;-1.0;0.22999999999999976;-1.554;-4.0
43;1.18;-0.18;-1.0;0.22999999999999976;-1.554;-4.0
44;-1.07;1.05;-1.0;0.22999999999999976;-1.554;-4.0
45;-0.403;1.22;-1.0;0.22999999999999976;-1.554;-4.0
46;0.208;0.977;-1.0;0.22999999999999976;-1.554;-4.0
47;0.356;0.707;-1.0;0.22999999999999976;-1.554;-4.0
48;0.0105;1.79;-1.0;0.22999999999999976;-1.554;-4.0
49;0.127;0.402;-1.0;0.22999999999999976;-1.554;-4.0
50;1.88;-1.35;-1.0;0.22999999999999976;-1.554;-4.0
51;-1.27;0.969;-1.0;0.22999999999999976;-1.554;-4.0
52;-1.17;1.94;-1.0;0.22999999999999976;-1.554;-4.0
53;-0.4136;-0.7475;-1.0;0.22999999999999976;-1.554;-4.0
54;1.92;1.48;-1.0;0.22999999999999976;-1.554;-4.0
55;1.87;0.906;-1.0;0.22999999999999976;-1.554;-4.0
56;-0.861;1.91;-1.0;0.22999999999999976;-1.554;-4.0
57;-0.268;0.802;-1.0;0.22999999999999976;-1.554;-4.0
58;0.947;-0.155;-1.0;0.22999999999999976;-1.554;-4.0
59;0.614;0.922;-1.0;0.22999999999999976;-1.554;-4.0
60;0.376;-1.1;-1.0;0.22999999999999976;-1.554;-4.0
61;0.298;1.33;-1.0;0.22999999999999976;-1.554;-4.0
62;-0.6946;-0.1496;-1.0;0.22999999999999976;-1.554;-4.0
63;-0.435;1.85;-1.0;0.22999999999999976;-1.554;-4.0
64;0.672;0.407;-1.0;0.22999999999999976;-1.554;-4.0
65;-0.77;0.539;-1.0;0.22999999999999976;-1.554;-4.0
66;-0.674;0.0318;-1.0;0.22999999999999976;-1.554;-4.0
67;-0.636;0.676;-1.0;0.22999999999999976;-1.554;-4.0
68;0.577;-0.208;-1.0;0.22999999999999976;-1.554;-4.0
69;0.396;-1.09;-1.0;0.22999999999999976;-1.554;-4.0
70;-1.49;0.439;-1.0;0.22999999999999976;-1.554;-4.0
71;0.167;0.635;-1.0;0.22999999999999976;-1.554;-4.0
72;2.38;0.944;-1.0;0.22999999999999976;-1.554;-4.0
73;-0.913;1.12;-1.0;0.22999999999999976;-1.554;-4.0
74;-1.3159;-0.4616;-1.0;0.22999999999999976;-1.554;-4.0
75;-0.0682;1.71;-1.0;0.22999999999999976;-1.554;-4.0
76;-0.7448;-0.8264;-1.0;0.22999999999999976;-1.554;-4.0
77;-0.0985;-0.6635;-1.0;0.22999999999999976;-1.554;-4.0
78;1.13;-1.08;-1.0;0.22999999999999976;-1.554;-4.0
79;-1.1475;-0.4378;-1.0;0.22999999999999976;-1.554;-4.0
80;-0.498;1.93;-1.0;0.22999999999999976;-1.554;-4.0
81;0.949;0.0876;-1.0;0.22999999999999976;-1.554;-4.0
82;-1.23;0.844;-1.0;0.22999999999999976;-1.554;-4.0
83;-1.0002;-1.5448;-1.0;0.22999999999999976;-1.554;-4.0
84;1.19;0.317;-1.0;0.22999999999999976;-1.554;-4.0
85;0.921;0.319;-1.0;0.22999999999999976;-1.554;-4.0
86;0.857;-0.651;-1.0;0.22999999999999976;-1.554;-4.0
87;-1.03;0.682;-1.0;0.22999999999999976;-1.554;-4.0
88;-0.8034;-0.6895;-1.0;0.22999999999999976;-1.554;-4.0
89;-0.456;0.0175;-1.0;0.22999999999999976;-1.554;-4.0
90;-0.354;-1.375;-1.0;0.22999999999999976;-1.554;-4.0
91;-0.6436;-2.2234;-1.0;0.22999999999999976;-1.554;-4.0
92;0.625;-1.6;-1.0;0.22999999999999976;-1.554;-4.0
93;-1.1;0.0522;-1.0;0.22999999999999976;-1.554;-4.0
94;-0.74;1.54;-1.0;0.22999999999999976;-1.554;-4.0
95;-1.29;0.267;-1.0;0.22999999999999976;-1.554;-4.0
96;-0.0393;-1.1681;-1.0;0.22999999999999976;-1.554;-4.0
97;0.523;-0.172;-1.0;0.22999999999999976;-1.554;-4.0
98;0.772;0.824;-1.0;0.22999999999999976;-1.554;-4.0
99;2.16;1.34;-1.0;0.22999999999999976;-1.554;-4.0
100;1.63;1.76;1.0;1.8599999999999997;0.20599999999999996;-3.0
101;3.1;2.66;1.0;1.8599999999999997;0.20599999999999996;-3.0
102;2.64;0.383;1.0;1.8599999999999997;0.20599999999999996;-3.0
103;1.98;1.26;1.0;1.8599999999999997;0.20599999999999996;-3.0
104;2.28;1.9;1.0;1.8599999999999997;0.20599999999999996;-3.0
105;2.91;2.32;1.0;1.8599999999999997;0.20599999999999996;-3.0
106;2.79;1.53;1.0;1.8599999999999997;0.20599999999999996;-3.0
107;1.06;1.59;1.0;2.92;1.796;-2.0
108;1.98;2.38;1.0;2.92;1.796;-2.0
109;4.26;1.96;1.0;2.92;1.796;-2.0
110;1.04;1.65;1.0;2.92;1.796;-2.0
111;1.54;2.48;1.0;2.92;1.796;-2.0
112;0.459;2.06;1.0;2.92;1.796;-2.0
113;2.16;2.23;1.0;2.92;1.796;-2.0
114;1.4;1.76;1.0;2.92;1.796;-2.0
115;0.576;1.51;1.0;2.92;1.796;-2.0
116;1.46;2.42;1.0;2.92;1.796;-2.0
117;0.844;2.78;1.0;2.92;1.796;-2.0
118;3.49;-0.07;1.0;2.92;1.796;-2.0
119;2.43;2.68;1.0;2.92;1.796;-2.0
120;1.36;1.6;1.0;2.92;1.796;-2.0
121;1.87;1.7;1.0;2.92;1.796;-2.0
122;1.69;0.324;1.0;2.92;1.796;-2.0
123;3.15;3.08;1.0;2.92;1.796;-2.0
124;1.19;0.534;1.0;2.92;1.796;-2.0
125;2.52;1.42;1.0;2.92;1.796;-2.0
126;2.14;1.68;1.0;2.92;1.796;-2.0
127;2.69;2.69;1.0;2.92;1.796;-2.0
128;1.27;0.617;1.0;2.92;1.796;-2.0
129;0.417;2.61;1.0;2.92;1.796;-2.0
130;0.811;1.49;1.0;2.92;1.796;-2.0
131;1.4;1.95;1.0;2.92;1.796;-2.0
132;0.0637;2.19;1.0;2.92;1.796;-2.0
133;2.52;2.09;1.0;2.92;1.796;-2.0
134;1.69;2.1;1.0;2.92;1.796;-2.0
135;2.4;-0.773;1.0;2.92;1.796;-2.0
136;3.96;2.39;1.0;2.92;1.796;-2.0
137;1.35;1.61;1.0;2.92;1.796;-2.0
138;2.49;1.88;1.0;2.92;1.796;-2.0
139;-0.0307;4.06;1.0;2.92;1.796;-2.0
140;1.89;3.02;1.0;2.92;1.796;-2.0
141;1.31;3.54;1.0;2.92;1.796;-2.0
142;2.29;2.61;1.0;2.92;1.796;-2.0
143;0.955;3.21;1.0;2.92;1.796;-2.0
144;2.69;3.3;1.0;2.92;1.796;-2.0
145;1.37;1.52;1.0;2.92;1.796;-2.0
146;4.3;0.94;1.0;2.92;1.796;-2.0
147;1.86;3.14;1.0;2.92;1.796;-2.0
148;2.1;2.58;1.0;2.92;1.796;-2.0
149;1.6;2.37;1.0;2.92;1.796;-2.0
150;0.693;3.66;1.0;2.92;1.796;-2.0
151;1.88;1.32;1.0;2.92;1.796;-2.0
152;2.67;1.54;1.0;2.92;1.796;-2.0
153;0.666;0.653;1.0;2.92;1.796;-2.0
154;2.69;1.84;1.0;2.92;1.796;-2.0
155;1.87;3.08;1.0;2.92;1.796;-2.0
156;0.873;1.27;1.0;2.92;1.796;-2.0
157;1.62;2.09;1.0;2.92;1.796;-2.0
158;1.96;1.71;1.0;2.92;1.796;-2.0
159;1.94;1.89;1.0;2.92;1.796;-2.0
160;1.28;1.19;1.0;2.92;1.796;-2.0
161;2.27;1.11;1.0;2.92;1.796;-2.0
162;0.843;1.69;1.0;2.92;1.796;-2.0
163;1.84;4.26;1.0;2.92;1.796;-2.0
164;1.3;2.94;1.0;2.92;1.796;-2.0
165;2.75;0.811;1.0;2.92;1.796;-2.0
166;2.77;0.816;1.0;2.92;1.796;-2.0
167;-0.659;2.61;1.0;2.92;1.796;-2.0
168;0.244;2.45;1.0;2.92;1.796;-2.0
169;1.32;3.66;1.0;2.92;1.796;-2.0
170;3.07;1.55;1.0;2.92;1.796;-2.0
171;1.31;0.786;1.0;2.92;1.796;-2.0
172;1.56;1.72;1.0;2.92;1.796;-2.0
173;1.64;2.16;1.0;2.92;1.796;-2.0
174;2.58;2.35;1.0;2.92;1.796;-2.0
175;1.24;0.562;1.0;2.92;1.796;-2.0
176;3.36;1.31;1.0;2.92;1.796;-2.0
177;1.35;1.48;1.0;2.92;1.796;-2.0
178;0.157;1.52;1.0;2.92;1.796;-2.0
179;1.52;2.62;1.0;2.92;1.796;-2.0
180;2.7;2.0;1.0;2.92;1.796;-2.0
181;2.93;2.34;1.0;2.92;1.796;-2.0
182;1.98;2.16;1.0;2.92;1.796;-2.0
183;1.81;1.61;1.0;2.92;1.796;-2.0
184;1.73;0.872;1.0;2.92;1.796;-2.0
185;2.28;1.01;1.0;2.92;1.796;-2.0
186;2.84;1.75;1.0;2.92;1.796;-2.0
187;2.05;2.49;1.0;2.92;1.796;-2.0
188;2.64;0.429;1.0;2.92;1.796;-2.0
189;1.79;2.88;1.0;2.92;1.796;-2.0
190;0.302;2.39;1.0;2.92;1.796;-2.0
191;-0.256;0.977;1.0;2.6639999999999997;2.773;-1.0
192;2.04;0.343;1.0;2.6639999999999997;2.773;-1.0
193;1.01;0.528;1.0;2.6639999999999997;2.773;-1.0
194;3.65;2.16;1.0;2.6639999999999997;2.773;-1.0
195;2.57;1.78;1.0;2.6639999999999997;2.773;-1.0
196;1.65;0.384;1.0;2.6639999999999997;2.773;-1.0
197;1.71;1.24;1.0;2.6639999999999997;2.773;-1.0
198;2.86;3.14;1.0;2.6639999999999997;2.773;-1.0
199;3.47;2.85;1.0;2.6639999999999997;2.773;-1.0
200;1.76;0.4;-1.0;0.9039999999999997;2.373;-2.0
201;0.979;2.24;-1.0;-0.07500000000000029;0.133;-3.0
202;1.87;-0.977;-1.0;-0.07500000000000029;0.133;-3.0
203;0.95;-0.151;-1.0;-0.07500000000000029;0.133;-3.0
204;-0.103;0.411;-1.0;-0.07500000000000029;0.133;-3.0
205;0.144;1.45;-1.0;-0.07500000000000029;0.133;-3.0
206;0.761;0.122;-1.0;-0.07500000000000029;0.133;-3.0
207;0.444;0.334;-1.0;-0.07500000000000029;0.133;-3.0
208;1.49;-0.205;-1.0;-0.07500000000000029;0.133;-3.0
209;0.313;-0.854;-1.0;-0.07500000000000029;0.133;-3.0
210;-2.55;0.654;-1.0;-0.07500000000000029;0.133;-3.0
211;0.864;-0.742;-1.0;-0.07500000000000029;0.133;-3.0
212;2.27;-1.45;-1.0;-0.07500000000000029;0.133;-3.0
213;0.0458;-0.187;-1.0;-0.07500000000000029;0.133;-3.0
214;1.53;1.47;-1.0;-0.07500000000000029;0.133;-3.0
215;0.155;0.378;-1.0;-0.07500000000000029;0.133;-3.0
216;-0.8878;-1.9808;-1.0;-0.07500000000000029;0.133;-3.0
217;-0.348;0.156;-1.0;-0.07500000000000029;0.133;-3.0
218;1.23;1.2;-1.0;-0.07500000000000029;0.133;-3.0
219;-0.3873;-0.3023;-1.0;-0.07500000000000029;0.133;-3.0
220;-1.0486;-1.42;-1.0;-0.07500000000000029;0.133;-3.0
221;-1.71;1.95;-1.0;-0.07500000000000029;0.133;-3.0
222;-0.5097;-0.4381;-1.0;-0.07500000000000029;0.133;-3.0
223;-1.25;0.777;-1.0;-0.07500000000000029;0.133;-3.0
224;-1.6139;-0.2127;-1.0;-0.07500000000000029;0.133;-3.0
225;-0.895;0.387;-1.0;-0.07500000000000029;0.133;-3.0
226;-0.5108;-1.1806;-1.0;-0.07500000000000029;0.133;-3.0
227;-0.0282;0.428;-1.0;-0.07500000000000029;0.133;-3.0
228;0.0665;0.302;-1.0;-0.07500000000000029;0.133;-3.0
229;-0.6343;-0.3627;-1.0;-0.07500000000000029;0.133;-3.0
230;-0.6725;-0.3596;-1.0;-0.07500000000000029;0.133;-3.0
231;-0.8131;-1.7263;-1.0;-0.07500000000000029;0.133;-3.0
232;0.177;-0.402;-1.0;-0.07500000000000029;0.133;-3.0
233;-1.63;0.463;-1.0;-0.07500000000000029;0.133;-3.0
234;-0.907;0.0519;-1.0;-0.07500000000000029;0.133;-3.0
235;0.729;0.129;-1.0;-0.07500000000000029;0.133;-3.0
236;1.14;-1.23;-1.0;-0.07500000000000029;0.133;-3.0
237;0.402;-0.685;-1.0;-0.07500000000000029;0.133;-3.0
238;-0.8708;-0.5788;-1.0;-0.07500000000000029;0.133;-3.0
239;-0.312;0.0562;-1.0;-0.07500000000000029;0.133;-3.0
240;-1.17;0.901;-1.0;-0.07500000000000029;0.133;-3.0
241;0.466;-1.54;-1.0;-0.07500000000000029;0.133;-3.0
242;1.49;1.9;-1.0;-0.07500000000000029;0.133;-3.0
243;1.18;-0.18;-1.0;-0.07500000000000029;0.133;-3.0
244;-1.07;1.05;-1.0;-0.07500000000000029;0.133;-3.0
245;-0.403;1.22;-1.0;-0.07500000000000029;0.133;-3.0
246;0.208;0.977;-1.0;-0.07500000000000029;0.133;-3.0
247;0.356;0.707;-1.0;-0.07500000000000029;0.133;-3.0
248;0.0105;1.79;-1.0;-0.07500000000000029;0.133;-3.0
249;0.127;0.402;-1.0;-0.07500000000000029;0.133;-3.0
250;1.88;-1.35;-1.0;-0.07500000000000029;0.133;-3.0
251;-1.27;0.969;-1.0;-0.07500000000000029;0.133;-3.0
252;-1.17;1.94;-1.0;-0.07500000000000029;0.133;-3.0
253;-0.4136;-0.7475;-1.0;-0.07500000000000029;0.133;-3.0
254;1.92;1.48;-1.0;-0.07500000000000029;0.133;-3.0
255;1.87;0.906;-1.0;-0.07500000000000029;0.133;-3.0
256;-0.861;1.91;-1.0;-0.07500000000000029;0.133;-3.0
257;-0.268;0.802;-1.0;-0.07500000000000029;0.133;-3.0
258;0.947;-0.155;-1.0;-0.07500000000000029;0.133;-3.0
259;0.614;0.922;-1.0;-0.07500000000000029;0.133;-3.0
260;0.376;-1.1;-1.0;-0.07500000000000029;0.133;-3.0
261;0.298;1.33;-1.0;-0.07500000000000029;0.133;-3.0
262;-0.6946;-0.1496;-1.0;-0.07500000000000029;0.133;-3.0
263;-0.435;1.85;-1.0;-0.07500000000000029;0.133;-3.0
264;0.672;0.407;-1.0;-0.07500000000000029;0.133;-3.0
265;-0.77;0.539;-1.0;-0.07500000000000029;0.133;-3.0
266;-0.674;0.0318;-1.0;-0.07500000000000029;0.133;-3.0
267;-0.636;0.676;-1.0;-0.07500000000000029;0.133;-3.0
268;0.577;-0.208;-1.0;-0.07500000000000029;0.133;-3.0
269;0.396;-1.09;-1.0;-0.07500000000000029;0.133;-3.0
270;-1.49;0.439;-1.0;-0.07500000000000029;0.133;-3.0
271;0.167;0.635;-1.0;-0.07500000000000029;0.133;-3.0
272;2.38;0.944;-1.0;-0.07500000000000029;0.133;-3.0
273;-0.913;1.12;-1.0;-0.07500000000000029;0.133;-3.0
274;-1.3159;-0.4616;-1.0;-0.07500000000000029;0.133;-3.0
275;-0.0682;1.71;-1.0;-0.07500000000000029;0.133;-3.0
276;-0.7448;-0.8264;-1.0;-0.07500000000000029;0.133;-3.0
277;-0.0985;-0.6635;-1.0;-0.07500000000000029;0.133;-3.0
278;1.13;-1.08;-1.0;-0.07500000000000029;0.133;-3.0
279;-1.1475;-0.4378;-1.0;-0.07500000000000029;0.133;-3.0
280;-0.498;1.93;-1.0;-0.07500000000000029;0.133;-3.0
281;0.949;0.0876;-1.0;-0.07500000000000029;0.133;-3.0
282;-1.23;0.844;-1.0;-0.07500000000000029;0.133;-3.0
283;-1.0002;-1.5448;-1.0;-0.07500000000000029;0.133;-3.0
284;1.19;0.317;-1.0;-0.07500000000000029;0.133;-3.0
285;0.921;0.319;-1.0;-0.07500000000000029;0.133;-3.0
286;0.857;-0.651;-1.0;-0.07500000000000029;0.133;-3.0
287;-1.03;0.682;-1.0;-0.07500000000000029;0.133;-3.0
288;-0.8034;-0.6895;-1.0;-0.07500000000000029;0.133;-3.0
289;-0.456;0.0175;-1.0;-0.07500000000000029;0.133;-3.0
290;-0.354;-1.375;-1.0;-0.07500000000000029;0.133;-3.0
291;-0.6436;-2.2234;-1.0;-0.07500000000000029;0.133;-3.0
292;0.625;-1.6;-1.0;-0.07500000000000029;0.133;-3.0
293;-1.1;0.0522;-1.0;-0.07500000000000029;0.133;-3.0
294;-0.74;1.54;-1.0;-0.07500000000000029;0.133;-3.0
295;-1.29;0.267;-1.0;-0.07500000000000029;0.133;-3.0
296;-0.0393;-1.1681;-1.0;-0.07500000000000029;0.133;-3.0
297;0.523;-0.172;-1.0;-0.07500000000000029;0.133;-3.0
298;0.772;0.824;-1.0;-0.07500000000000029;0.133;-3.0
299;2.16;1.34;-1.0;-0.07500000000000029;0.133;-3.0
300;1.63;1.76;1.0;1.5549999999999997;1.893;-2.0
301;3.1;2.66;1.0;1.5549999999999997;1.893;-2.0
302;2.64;0.383;1.0;1.5549999999999997;1.893;-2.0
303;1.98;1.26;1.0;1.5549999999999997;1.893;-2.0
304;2.28;1.9;1.0;1.5549999999999997;1.893;-2.0
305;2.91;2.32;1.0;1.5549999999999997;1.893;-2.0
306;2.79;1.53;1.0;1.5549999999999997;1.893;-2.0
307;1.06;1.59;1.0;1.5549999999999997;1.893;-2.0
308;1.98;2.38;1.0;1.5549999999999997;1.893;-2.0
309;4.26;1.96;1.0;1.5549999999999997;1.893;-2.0
310;1.04;1.65;1.0;1.5549999999999997;1.893;-2.0
311;1.54;2.48;1.0;1.5549999999999997;1.893;-2.0
312;0.459;2.06;1.0;1.5549999999999997;1.893;-2.0
313;2.16;2.23;1.0;1.5549999999999997;1.893;-2.0
314;1.4;1.76;1.0;1.5549999999999997;1.893;-2.0
315;0.576;1.51;1.0;1.5549999999999997;1.893;-2.0
316;1.46;2.42;1.0;1.5549999999999997;1.893;-2.0
317;0.844;2.78;1.0;1.5549999999999997;1.893;-2.0
318;3.49;-0.07;1.0;1.5549999999999997;1.893;-2.0
319;2.43;2.68;1.0;1.5549999999999997;1.893;-2.0
320;1.36;1.6;1.0;1.5549999999999997;1.893;-2.0
321;1.87;1.7;1.0;1.5549999999999997;1.893;-2.0
322;1.69;0.324;1.0;1.5549999999999997;1.893;-2.0
323;3.15;3.08;1.0;1.5549999999999997;1.893;-2.0
324;1.19;0.534;1.0;1.5549999999999997;1.893;-2.0
325;2.52;1.42;1.0;1.5549999999999997;1.893;-2.0
326;2.14;1.68;1.0;1.5549999999999997;1.893;-2.0
327;2.69;2.69;1.0;1.5549999999999997;1.893;-2.0
328;1.27;0.617;1.0;1.5549999999999997;1.893;-2.0
329;0.417;2.61;1.0;1.5549999999999997;1.893;-2.0
330;0.811;1.49;1.0;1.5549999999999997;1.893;-2.0
331;1.4;1.95;1.0;1.5549999999999997;1.893;-2.0
332;0.0637;2.19;1.0;1.5549999999999997;1.893;-2.0
333;2.52;2.09;1.0;1.5549999999999997;1.893;-2.0
334;1.69;2.1;1.0;1.5549999999999997;1.893;-2.0
335;2.4;-0.773;1.0;1.5549999999999997;1.893;-2.0
336;3.96;2.39;1.0;1.5549999999999997;1.893;-2.0
337;1.35;1.61;1.0;1.5549999999999997;1.893;-2.0
338;2.49;1.88;1.0;1.5549999999999997;1.893;-2.0
339;-0.0307;4.06;1.0;1.5549999999999997;1.893;-2.0
340;1.89;3.02;1.0;1.5549999999999997;1.893;-2.0
341;1.31;3.54;1.0;1.5549999999999997;1.893;-2.0
342;2.29;2.61;1.0;1.5549999999999997;1.893;-2.0
343;0.955;3.21;1.0;1.5549999999999997;1.893;-2.0
344;2.69;3.3;1.0;1.5549999999999997;1.893;-2.0
345;1.37;1.52;1.0;1.5549999999999997;1.893;-2.0
346;4.3;0.94;1.0;1.5549999999999997;1.893;-2.0
347;1.86;3.14;1.0;1.5549999999999997;1.893;-2.0
348;2.1;2.58;1.0;1.5549999999999997;1.893;-2.0
349;1.6;2.37;1.0;1.5549999999999997;1.893;-2.0
350;0.693;3.66;1.0;1.5549999999999997;1.893;-2.0
351;1.88;1.32;1.0;1.5549999999999997;1.893;-2.0
352;2.67;1.54;1.0;1.5549999999999997;1.893;-2.0
353;0.666;0.653;1.0;1.5549999999999997;1.893;-2.0
354;2.69;1.84;1.0;1.5549999999999997;1.893;-2.0
355;1.87;3.08;1.0;1.5549999999999997;1.893;-2.0
356;0.873;1.27;1.0;1.5549999999999997;1.893;-2.0
357;1.62;2.09;1.0;1.5549999999999997;1.893;-2.0
358;1.96;1.71;1.0;1.5549999999999997;1.893;-2.0
359;1.94;1.89;1.0;1.5549999999999997;1.893;-2.0
360;1.28;1.19;1.0;1.5549999999999997;1.893;-2.0
361;2.27;1.11;1.0;1.5549999999999997;1.893;-2.0
362;0.843;1.69;1.0;1.5549999999999997;1.893;-2.0
363;1.84;4.26;1.0;1.5549999999999997;1.893;-2.0
364;1.3;2.94;1.0;1.5549999999999997;1.893;-2.0
365;2.75;0.811;1.0;1.5549999999999997;1.893;-2.0
366;2.77;0.816;1.0;1.5549999999999997;1.893;-2.0
367;-0.659;2.61;1.0;1.5549999999999997;1.893;-2.0
368;0.244;2.45;1.0;1.5549999999999997;1.893;-2.0
369;1.32;3.66;1.0;1.5549999999999997;1.893;-2.0
370;3.07;1.55;1.0;1.5549999999999997;1.893;-2.0
371;1.31;0.786;1.0;1.5549999999999997;1.893;-2.0
372;1.56;1.72;1.0;1.5549999999999997;1.893;-2.0
373;1.64;2.16;1.0;1.5549999999999997;1.893;-2.0
374;2.58;2.35;1.0;1.5549999999999997;1.893;-2.0
375;1.24;0.562;1.0;1.5549999999999997;1.893;-2.0
376;3.36;1.31;1.0;1.5549999999999997;1.893;-2.0
377;1.35;1.48;1.0;1.5549999999999997;1.893;-2.0
378;0.157;1.52;1.0;1.5549999999999997;1.893;-2.0
379;1.52;2.62;1.0;1.5549999999999997;1.893;-2.0
380;2.7;2.0;1.0;1.5549999999999997;1.893;-2.0
381;2.93;2.34;1.0;1.5549999999999997;1.893;-2.0
382;1.98;2.16;1.0;1.5549999999999997;1.893;-2.0
383;1.81;1.61;1.0;1.5549999999999997;1.893;-2.0
384;1.73;0.872;1.0;1.5549999999999997;1.893;-2.0
385;2.28;1.01;1.0;1.5549999999999997;1.893;-2.0
386;2.84;1.75;1.0;1.5549999999999997;1.893;-2.0
387;2.05;2.49;1.0;1.5549999999999997;1.893;-2.0
388;2.64;0.429;1.0;1.5549999999999997;1.893;-2.0
389;1.79;2.88;1.0;1.5549999999999997;1.893;-2.0
390;0.302;2.39;1.0;1.5549999999999997;1.893;-2.0
391;-0.256;0.977;1.0;1.2989999999999997;2.87;-1.0
392;2.04;0.343;1.0;1.2989999999999997;2.87;-1.0
393;1.01;0.528;1.0;1.2989999999999997;2.87;-1.0
394;3.65;2.16;1.0;1.2989999999999997;2.87;-1.0
395;2.57;1.78;1.0;1.2989999999999997;2.87;-1.0
396;1.65;0.384;1.0;1.2989999999999997;2.87;-1.0
397;1.71;1.24;1.0;1.2989999999999997;2.87;-1.0
398;2.86;3.14;1.0;1.2989999999999997;2.87;-1.0
399;3.47;2.85;1.0;1.2989999999999997;2.87;-1.0
400;1.76;0.4;-1.0;-0.4610000000000003;2.47;-2.0
401;0.979;2.24;-1.0;-1.4400000000000004;0.22999999999999998;-3.0
402;1.87;-0.977;-1.0;-1.4400000000000004;0.22999999999999998;-3.0
403;0.95;-0.151;-1.0;-1.4400000000000004;0.22999999999999998;-3.0
404;-0.103;0.411;-1.0;-1.4400000000000004;0.22999999999999998;-3.0
405;0.144;1.45;-1.0;-1.4400000000000004;0.22999999999999998;-3.0
406;0.761;0.122;-1.0;-1.4400000000000004;0.22999999999999998;-3.0
407;0.444;0.334;-1.0;-1.4400000000000004;0.22999999999999998;-3.0
408;1.49;-0.205;-1.0;-1.4400000000000004;0.22999999999999998;-3.0
409;0.313;-0.854;-1.0;-1.4400000000000004;0.22999999999999998;-3.0
410;-2.55;0.654;-1.0;1.1099999999999994;-0.42400000000000004;-4.0
411;0.864;-0.742;-1.0;1.1099999999999994;-0.42400000000000004;-4.0
412;2.27;-1.45;-1.0;1.1099999999999994;-0.42400000000000004;-4.0
413;0.0458;-0.187;-1.0;1.1099999999999994;-0.42400000000000004;-4.0
414;1.53;1.47;-1.0;1.1099999999999994;-0.42400000000000004;-4.0
415;0.155;0.378;-1.0;1.1099999999999994;-0.42400000000000004;-4.0
416;-0.8878;-1.9808;-1.0;1.1099999999999994;-0.42400000000000004;-4.0
417;-0.348;0.156;-1.0;1.1099999999999994;-0.42400000000000004;-4.0
418;1.23;1.2;-1.0;1.1099999999999994;-0.42400000000000004;-4.0
419;-0.3873;-0.3023;-1.0;1.1099999999999994;-0.42400000000000004;-4.0
